../../instances/bininstances/test/order_n10_16173.txt   3.4532000000e+02 (gap = 0, 0.00%)
../../instances/bininstances/test/order_n11_20355.txt   3.7321000000e+02 (gap = 0, 0.00%)
../../instances/bininstances/test/order_n12_1915.txt   6.7083000000e+02 (gap = 0, 0.00%)
../../instances/bininstances/test/order_n13_13371.txt   6.9322000000e+02 (gap = 0, 0.00%)
../../instances/bininstances/test/order_n14_27116.txt   8.7250000000e+02 (gap = 0, 0.00%)
../../instances/bininstances/test/order_n15_25222.txt   7.6617000000e+02 (gap = 0, 0.00%)
../../instances/bininstances/test/order_n16_14675.txt   9.6480000000e+02 (gap = 0, 0.00%)
../../instances/bininstances/test/order_n17_13796.txt   1.1357510527e+03 (gap = 0.0389473, 0.00%)
  1.1357510527e+03 (gap = 0.0389473, 0.00%)
../../instances/bininstances/test/order_n18_1673.txt   1.4171440435e+03 (gap = 0.135957, 0.01%)
  1.4171440435e+03 (gap = 0.135957, 0.01%)
../../instances/bininstances/test/order_n19_25085.txt   1.4764400000e+03 (gap = 0, 0.00%)
../../instances/bininstances/test/order_n20_19971.txt   1.5578758231e+03 (gap = 0.104177, 0.01%)
  1.5578758231e+03 (gap = 0.104177, 0.01%)
../../instances/bininstances/test/order_n21_22464.txt   1.3839396341e+03 (gap = 0.130366, 0.01%)
  1.3839396341e+03 (gap = 0.130366, 0.01%)
../../instances/bininstances/test/order_n22_12395.txt   1.7277822922e+03 (gap = 0.147708, 0.01%)
  1.7277822922e+03 (gap = 0.147708, 0.01%)
../../instances/bininstances/test/order_n23_17926.txt   1.7171884328e+03 (gap = 0.171567, 0.01%)
  1.7171884328e+03 (gap = 0.171567, 0.01%)
../../instances/bininstances/test/order_n24_14684.txt   2.0111593809e+03 (gap = 0.200619, 0.01%)
  2.0111593809e+03 (gap = 0.200619, 0.01%)
../../instances/bininstances/test/order_n25_19462.txt   2.5964156148e+03 (gap = 0.254385, 0.01%)
  2.5964156148e+03 (gap = 0.254385, 0.01%)
../../instances/bininstances/test/order_n26_12055.txt   1.9886325675e+03 (gap = 410.627, 17.11%)
  1.9886325675e+03 (gap = 410.627, 17.11%)
../../instances/bininstances/test/order_n27_28219.txt   2.2265323431e+03 (gap = 823.268, 26.99%)
  2.2265323431e+03 (gap = 823.268, 26.99%)
../../instances/bininstances/test/order_n28_15136.txt   2.4686871429e+03 (gap = 583.923, 19.13%)
  2.4686871429e+03 (gap = 583.923, 19.13%)
../../instances/bininstances/test/order_n29_10636.txt   2.8315451864e+03 (gap = 386.235, 12.00%)
  2.8315451864e+03 (gap = 386.235, 12.00%)
../../instances/bininstances/test/order_n30_1194.txt   1.6813682447e+03 (gap = 937.512, 35.80%)
  1.6813682447e+03 (gap = 937.512, 35.80%)
../../instances/bininstances/test/order_n31_17454.txt   1.0235154812e+03 (gap = 2959.04, 74.30%)
  1.0235154812e+03 (gap = 2959.04, 74.30%)
../../instances/bininstances/test/order_n32_26831.txt   1.2888948610e+03 (gap = 2160.75, 62.64%)
  1.2888948610e+03 (gap = 2160.75, 62.64%)
../../instances/bininstances/test/order_n33_25426.txt   3.6318912743e+02 (gap = 3257.97, 89.97%)
  3.6318912743e+02 (gap = 3257.97, 89.97%)
../../instances/bininstances/test/order_n34_31886.txt   3.9641538680e+02 (gap = 3791.52, 90.53%)
  3.9641538680e+02 (gap = 3791.52, 90.53%)
../../instances/bininstances/test/order_n35_10546.txt   6.5820281383e+02 (gap = 3577.56, 84.46%)
  6.5820281383e+02 (gap = 3577.56, 84.46%)
../../instances/bininstances/test/order_n36_19100.txt   2.3809570043e+02 (gap = 4385.55, 94.85%)
  2.3809570043e+02 (gap = 4385.55, 94.85%)
../../instances/bininstances/test/order_n37_10008.txt   6.9782698314e+02 (gap = 4218.18, 85.81%)
  6.9782698314e+02 (gap = 4218.18, 85.81%)
../../instances/bininstances/test/order_n38_17965.txt   1.1734431711e+02 (gap = 4685.16, 97.56%)
  1.1734431711e+02 (gap = 4685.16, 97.56%)
../../instances/bininstances/test/order_n39_22819.txt   3.1518624642e-15 (gap = 5400.67, 100.00%)
  3.1518624642e-15 (gap = 5400.67, 100.00%)
../../instances/bininstances/test/order_n40_30267.txt   2.8877005348e-15 (gap = 6399.7, 100.00%)
  2.8877005348e-15 (gap = 6399.7, 100.00%)
