../../instances/bininstances/test/order_n10_16173.txt   3.3717000000e+02 (gap = 0, 0.00%)
../../instances/bininstances/test/order_n11_20355.txt   3.7505000000e+02 (gap = 0, 0.00%)
../../instances/bininstances/test/order_n12_1915.txt   6.7916000000e+02 (gap = 0, 0.00%)
../../instances/bininstances/test/order_n13_13371.txt   6.7597000000e+02 (gap = 0, 0.00%)
../../instances/bininstances/test/order_n14_27116.txt   8.8621000000e+02 (gap = 0, 0.00%)
../../instances/bininstances/test/order_n15_25222.txt   7.7771000000e+02 (gap = 0, 0.00%)
../../instances/bininstances/test/order_n16_14675.txt   9.7196000000e+02 (gap = 0, 0.00%)
../../instances/bininstances/test/order_n17_13796.txt   1.1029800000e+03 (gap = 0, 0.00%)
../../instances/bininstances/test/order_n18_1673.txt   1.4810200163e+03 (gap = 0.139984, 0.01%)
  1.4810200163e+03 (gap = 0.139984, 0.01%)
../../instances/bininstances/test/order_n19_25085.txt   1.4630000000e+03 (gap = 0.04, 0.00%)
  1.4630000000e+03 (gap = 0.04, 0.00%)
../../instances/bininstances/test/order_n20_19971.txt   1.6439457143e+03 (gap = 0.104286, 0.01%)
  1.6439457143e+03 (gap = 0.104286, 0.01%)
../../instances/bininstances/test/order_n21_22464.txt   1.3533241809e+03 (gap = 0.0858191, 0.01%)
  1.3533241809e+03 (gap = 0.0858191, 0.01%)
../../instances/bininstances/test/order_n22_12395.txt   1.6861726850e+03 (gap = 0.117315, 0.01%)
  1.6861726850e+03 (gap = 0.117315, 0.01%)
../../instances/bininstances/test/order_n23_17926.txt   1.7365800000e+03 (gap = 0.17, 0.01%)
  1.7365800000e+03 (gap = 0.17, 0.01%)
../../instances/bininstances/test/order_n24_14684.txt   2.0638550000e+03 (gap = 0.205, 0.01%)
  2.0638550000e+03 (gap = 0.205, 0.01%)
../../instances/bininstances/test/order_n25_19462.txt   2.4437099739e+03 (gap = 0.240026, 0.01%)
  2.4437099739e+03 (gap = 0.240026, 0.01%)
../../instances/bininstances/test/order_n26_12055.txt   2.1025341362e+03 (gap = 433.786, 17.10%)
  2.1025341362e+03 (gap = 433.786, 17.10%)
../../instances/bininstances/test/order_n27_28219.txt   2.1496471655e+03 (gap = 1021.23, 32.21%)
  2.1496471655e+03 (gap = 1021.23, 32.21%)
../../instances/bininstances/test/order_n28_15136.txt   2.5581526289e+03 (gap = 588.317, 18.70%)
  2.5581526289e+03 (gap = 588.317, 18.70%)
../../instances/bininstances/test/order_n29_10636.txt   2.8260880263e+03 (gap = 157.122, 5.27%)
  2.8260880263e+03 (gap = 157.122, 5.27%)
../../instances/bininstances/test/order_n30_1194.txt   1.9077808996e+03 (gap = 893.849, 31.90%)
  1.9077808996e+03 (gap = 893.849, 31.90%)
../../instances/bininstances/test/order_n31_17454.txt   1.1905679918e+03 (gap = 2783.68, 70.04%)
  1.1905679918e+03 (gap = 2783.68, 70.04%)
../../instances/bininstances/test/order_n32_26831.txt   1.4771970422e+03 (gap = 1976.49, 57.23%)
  1.4771970422e+03 (gap = 1976.49, 57.23%)
../../instances/bininstances/test/order_n33_25426.txt   8.6724966307e+02 (gap = 2669.22, 75.48%)
  8.6724966307e+02 (gap = 2669.22, 75.48%)
../../instances/bininstances/test/order_n34_31886.txt   4.6942257414e+02 (gap = 3765.17, 88.91%)
  4.6942257414e+02 (gap = 3765.17, 88.91%)
../../instances/bininstances/test/order_n35_10546.txt   8.7657232970e+02 (gap = 3470.94, 79.84%)
  8.7657232970e+02 (gap = 3470.94, 79.84%)
../../instances/bininstances/test/order_n36_19100.txt   6.6037060217e+02 (gap = 4027.18, 85.91%)
  6.6037060217e+02 (gap = 4027.18, 85.91%)
../../instances/bininstances/test/order_n37_10008.txt   6.5918556173e+02 (gap = 3995.1, 85.84%)
  6.5918556173e+02 (gap = 3995.1, 85.84%)
../../instances/bininstances/test/order_n38_17965.txt   5.0071482407e+02 (gap = 4511.78, 90.01%)
  5.0071482407e+02 (gap = 4511.78, 90.01%)
../../instances/bininstances/test/order_n39_22819.txt   2.6086942845e+02 (gap = 5229.83, 95.25%)
  2.6086942845e+02 (gap = 5229.83, 95.25%)
../../instances/bininstances/test/order_n40_30267.txt   0.0000000000e+00 (gap = 6563.7, 100.00%)
  0.0000000000e+00 (gap = 6563.7, 100.00%)
