../../instances/bininstances/orders_reparsed/orderpool_0814_parsed.txt   2.5365806562e+03 (gap = 3764.91, 59.75%)
  2.5365806562e+03 (gap = 3764.91, 59.75%)
../../instances/bininstances/orders_reparsed/orderpool_0815_parsed.txt ../../instances/bininstances/orders_reparsed/orderpool_0816_parsed.txt   2.0077001220e+03 (gap = 2274.71, 53.12%)
  2.0077001220e+03 (gap = 2274.71, 53.12%)
../../instances/bininstances/orders_reparsed/orderpool_0817_parsed.txt   1.2111269048e+03 (gap = 5137.64, 80.92%)
  1.2111269048e+03 (gap = 5137.64, 80.92%)
../../instances/bininstances/orders_reparsed/orderpool_0820_parsed.txt   3.4331617060e+03 (gap = 6015.2, 63.66%)
  3.4331617060e+03 (gap = 6015.2, 63.66%)
../../instances/bininstances/orders_reparsed/orderpool_0821_parsed.txt   3.6026882025e+03 (gap = 5116.22, 58.68%)
  3.6026882025e+03 (gap = 5116.22, 58.68%)
../../instances/bininstances/orders_reparsed/orderpool_0822_parsed.txt   3.6022594722e+03 (gap = 5116.65, 58.68%)
  3.6022594722e+03 (gap = 5116.65, 58.68%)
../../instances/bininstances/orders_reparsed/orderpool_0827_parsed.txt   1.8318079572e+03 (gap = 9072.12, 83.20%)
  1.8318079572e+03 (gap = 9072.12, 83.20%)
../../instances/bininstances/orders_reparsed/orderpool_0828_parsed.txt   3.9122663979e+03 (gap = 5766.52, 59.58%)
  3.9122663979e+03 (gap = 5766.52, 59.58%)
../../instances/bininstances/orders_reparsed/orderpool_0829_parsed.txt   3.9683144358e+03 (gap = 4664.67, 54.03%)
  3.9683144358e+03 (gap = 4664.67, 54.03%)
../../instances/bininstances/orders_reparsed/orderpool_0903_parsed.txt   6.6976772092e+03 (gap = 6925.2, 50.84%)
  6.6976772092e+03 (gap = 6925.2, 50.84%)
../../instances/bininstances/orders_reparsed/orderpool_0904_parsed.txt   6.4147259234e+03 (gap = 4495.62, 41.21%)
  6.4147259234e+03 (gap = 4495.62, 41.21%)
../../instances/bininstances/orders_reparsed/orderpool_0905_parsed.txt   3.9659324561e+03 (gap = 6074.26, 60.50%)
  3.9659324561e+03 (gap = 6074.26, 60.50%)
../../instances/bininstances/orders_reparsed/orderpool_0906_parsed.txt   4.6911784999e+03 (gap = 5719.01, 54.94%)
  4.6911784999e+03 (gap = 5719.01, 54.94%)
../../instances/bininstances/orders_reparsed/orderpool_0910_parsed.txt   2.8783167624e+03 (gap = 5685.68, 66.39%)
  2.8783167624e+03 (gap = 5685.68, 66.39%)
../../instances/bininstances/orders_reparsed/orderpool_0911_parsed.txt   5.7602284261e+03 (gap = 4325.95, 42.89%)
  5.7602284261e+03 (gap = 4325.95, 42.89%)
../../instances/bininstances/orders_reparsed/orderpool_0913_parsed.txt   3.1566224258e+03 (gap = 2508.22, 44.28%)
  3.1566224258e+03 (gap = 2508.22, 44.28%)
../../instances/bininstances/orders_reparsed/orderpool_0918_parsed.txt   1.5065641928e+03 (gap = 8117.26, 84.35%)
  1.5065641928e+03 (gap = 8117.26, 84.35%)
../../instances/bininstances/orders_reparsed/orderpool_0919_parsed.txt   2.7085314187e+03 (gap = 5236.29, 65.91%)
  2.7085314187e+03 (gap = 5236.29, 65.91%)
../../instances/bininstances/orders_reparsed/orderpool_0920_parsed.txt   3.4571146283e+03 (gap = 4738.96, 57.82%)
  3.4571146283e+03 (gap = 4738.96, 57.82%)
../../instances/bininstances/orders_reparsed/orderpool_0921_parsed.txt   3.0092922732e+03 (gap = 4049.45, 57.37%)
  3.0092922732e+03 (gap = 4049.45, 57.37%)
../../instances/bininstances/orders_reparsed/orderpool_0922_parsed.txt   4.1580495067e+03 (gap = 3558.47, 46.11%)
  4.1580495067e+03 (gap = 3558.47, 46.11%)
