../../instances/bininstances/orders_reparsed/orderpool_0814_parsed.txt   1.4926562362e+03 (gap = 4552.35, 75.31%)
  1.4926562362e+03 (gap = 4552.35, 75.31%)
../../instances/bininstances/orders_reparsed/orderpool_0815_parsed.txt   1.5712304484e+03 (gap = 2369.44, 60.13%)
  1.5712304484e+03 (gap = 2369.44, 60.13%)
../../instances/bininstances/orders_reparsed/orderpool_0816_parsed.txt   1.8628579786e+03 (gap = 2365.6, 55.94%)
  1.8628579786e+03 (gap = 2365.6, 55.94%)
../../instances/bininstances/orders_reparsed/orderpool_0817_parsed.txt   1.5388126896e+03 (gap = 4857.13, 75.94%)
  1.5388126896e+03 (gap = 4857.13, 75.94%)
../../instances/bininstances/orders_reparsed/orderpool_0820_parsed.txt   3.1615168478e+03 (gap = 6390.67, 66.90%)
  3.1615168478e+03 (gap = 6390.67, 66.90%)
../../instances/bininstances/orders_reparsed/orderpool_0821_parsed.txt   2.5762803682e+03 (gap = 6074.74, 70.22%)
  2.5762803682e+03 (gap = 6074.74, 70.22%)
../../instances/bininstances/orders_reparsed/orderpool_0822_parsed.txt   2.5778847901e+03 (gap = 6073.14, 70.20%)
  2.5778847901e+03 (gap = 6073.14, 70.20%)
../../instances/bininstances/orders_reparsed/orderpool_0827_parsed.txt   1.6405636403e+03 (gap = 9010.57, 84.60%)
  1.6405636403e+03 (gap = 9010.57, 84.60%)
../../instances/bininstances/orders_reparsed/orderpool_0828_parsed.txt   3.8027860758e+03 (gap = 5874.6, 60.70%)
  3.8027860758e+03 (gap = 5874.6, 60.70%)
../../instances/bininstances/orders_reparsed/orderpool_0829_parsed.txt   3.1405498382e+03 (gap = 5405.41, 63.25%)
  3.1405498382e+03 (gap = 5405.41, 63.25%)
../../instances/bininstances/orders_reparsed/orderpool_0903_parsed.txt   7.0185542952e+03 (gap = 6249.4, 47.10%)
  7.0185542952e+03 (gap = 6249.4, 47.10%)
../../instances/bininstances/orders_reparsed/orderpool_0904_parsed.txt   5.4125412374e+03 (gap = 4568.09, 45.77%)
  5.4125412374e+03 (gap = 4568.09, 45.77%)
../../instances/bininstances/orders_reparsed/orderpool_0905_parsed.txt   5.3041986099e+03 (gap = 4991.96, 48.48%)
  5.3041986099e+03 (gap = 4991.96, 48.48%)
../../instances/bininstances/orders_reparsed/orderpool_0906_parsed.txt   3.5951325590e+03 (gap = 6731.5, 65.19%)
  3.5951325590e+03 (gap = 6731.5, 65.19%)
../../instances/bininstances/orders_reparsed/orderpool_0910_parsed.txt   3.2245388228e+03 (gap = 5268.58, 62.03%)
  3.2245388228e+03 (gap = 5268.58, 62.03%)
../../instances/bininstances/orders_reparsed/orderpool_0911_parsed.txt   4.8378537065e+03 (gap = 4719.1, 49.38%)
  4.8378537065e+03 (gap = 4719.1, 49.38%)
../../instances/bininstances/orders_reparsed/orderpool_0913_parsed.txt   3.5388972839e+03 (gap = 2514.65, 41.54%)
  3.5388972839e+03 (gap = 2514.65, 41.54%)
../../instances/bininstances/orders_reparsed/orderpool_0918_parsed.txt   3.5389861118e+03 (gap = 2510.44, 41.50%)
  3.5389861118e+03 (gap = 2510.44, 41.50%)
../../instances/bininstances/orders_reparsed/orderpool_0919_parsed.txt   3.1995417612e+03 (gap = 4720.5, 59.60%)
  3.1995417612e+03 (gap = 4720.5, 59.60%)
../../instances/bininstances/orders_reparsed/orderpool_0920_parsed.txt   3.8842297597e+03 (gap = 4237.69, 52.18%)
  3.8842297597e+03 (gap = 4237.69, 52.18%)
../../instances/bininstances/orders_reparsed/orderpool_0921_parsed.txt   3.8842246932e+03 (gap = 4237.7, 52.18%)
  3.8842246932e+03 (gap = 4237.7, 52.18%)
../../instances/bininstances/orders_reparsed/orderpool_0922_parsed.txt   5.0009378494e+03 (gap = 2802.36, 35.91%)
  5.0009378494e+03 (gap = 2802.36, 35.91%)
../../instances/bininstances/orders_reparsed/orderpool_0923_parsed.txt   5.0011729801e+03 (gap = 2802.13, 35.91%)
  5.0011729801e+03 (gap = 2802.13, 35.91%)
../../instances/bininstances/orders_reparsed/orderpool_0925_parsed.txt   4.9077254545e+03 (gap = 4539.19, 48.05%)
  4.9077254545e+03 (gap = 4539.19, 48.05%)
../../instances/bininstances/orders_reparsed/orderpool_0926_parsed.txt   2.9975054690e+03 (gap = 7710.15, 72.01%)
  2.9975054690e+03 (gap = 7710.15, 72.01%)
../../instances/bininstances/orders_reparsed/orderpool_0927_parsed.txt   3.6295991790e+03 (gap = 5501.05, 60.25%)
  3.6295991790e+03 (gap = 5501.05, 60.25%)
../../instances/bininstances/orders_reparsed/orderpool_0928_parsed.txt   2.3750926192e+03 (gap = 6267.78, 72.52%)
  2.3750926192e+03 (gap = 6267.78, 72.52%)
../../instances/bininstances/orders_reparsed/orderpool_0929_parsed.txt   2.0338646448e+03 (gap = 4709.23, 69.84%)
  2.0338646448e+03 (gap = 4709.23, 69.84%)
../../instances/bininstances/orders_reparsed/orderpool_1002_parsed.txt   3.2473839471e+03 (gap = 3856.21, 54.29%)
  3.2473839471e+03 (gap = 3856.21, 54.29%)
../../instances/bininstances/orders_reparsed/orderpool_1003_parsed.txt   2.6825464639e+03 (gap = 4800.38, 64.15%)
  2.6825464639e+03 (gap = 4800.38, 64.15%)
../../instances/bininstances/orders_reparsed/orderpool_1004_parsed.txt   3.1615155758e+03 (gap = 5853.06, 64.93%)
  3.1615155758e+03 (gap = 5853.06, 64.93%)
../../instances/bininstances/orders_reparsed/orderpool_1006_parsed.txt   5.1639861803e+03 (gap = 3892.6, 42.98%)
  5.1639861803e+03 (gap = 3892.6, 42.98%)
../../instances/bininstances/orders_reparsed/orderpool_1010_parsed.txt   2.7749433043e+03 (gap = 9345.29, 77.10%)
  2.7749433043e+03 (gap = 9345.29, 77.10%)
