3 121
0 256 3077
3077 0 3078
3078 0 3079
3079 0 3080
3080 0 3081
3081 0 3082
3082 0 3083
3083 0 3084
3084 0 3085
3085 0 3086
3086 0 3087
3087 0 3088
3088 0 3089
3089 0 3090
3090 0 3091
3091 0 3092
3092 0 3093
3093 0 3094
3094 0 3095
3095 0 3096
3096 256 3097
3097 0 3098
3098 0 3099
3099 0 3100
3100 0 3101
3101 0 3102
3102 0 3103
3103 0 3104
3104 0 3105
3105 0 3106
3106 0 3107
3107 0 3108
3108 0 3109
3109 0 3110
3110 0 3111
3111 0 3112
3112 0 3113
3113 0 3114
3114 0 3115
3115 0 3116
3116 256 3117
3117 0 3118
3118 0 3119
3119 0 3120
3120 0 3121
3121 0 3122
3122 0 3123
3123 0 3124
3124 0 3125
3125 0 3126
3126 0 3127
3127 0 3128
3128 0 3129
3129 0 3130
3130 0 3131
3131 0 3132
3132 0 3133
3133 0 3134
3134 0 3135
3135 0 3136
3136 256 0
256 3076 1
1 3076 1
1 3076 1
1 3076 1
1 3076 1
1 3076 256
256 3076 2
2 3076 2
2 3076 2
2 3076 2
2 3076 2
2 3076 2
2 3076 256
256 3076 3
3 3076 3
3 3076 3
3 3076 3
3 3076 3
3 3076 3
3 3076 256
256 3076 4
4 3076 4
4 3076 4
4 3076 4
4 3076 4
4 3076 4
4 3076 4
4 3076 256
256 3076 5
5 3076 5
5 3076 5
5 3076 5
5 3076 5
5 3076 256
256 3076 6
6 3076 6
6 3076 6
6 3076 6
6 3076 6
6 3076 256
256 3076 7
7 3076 7
7 3076 7
7 3076 7
7 3076 7
7 3076 256
256 3076 8
8 3076 8
8 3076 8
8 3076 8
8 3076 8
8 3076 8
8 3076 256
256 3076 9
9 3076 9
9 3076 9
9 3076 9
9 3076 9
9 3076 9
9 3076 256
